"name","apple_rating","google_play","review_count"
"Instagram","4.5","4.5","2161558"
"Clash of Clans","4.5","4.6","2130805"
"Pinterest","4.5","4.6","1061624"
"Bible","4.5","4.7","985920"
"Subway Surfers","4.5","4.5","706110"
"Solitaire","4.5","4.7","679055"
"Hay Day","4.5","4.5","567344"
"Sonic Dash","4.5","4.5","418033"
"Trivia Crack","4.5","4.5","393469"
"Geometry Dash Lite","5.0","4.5","370370"
"Starbucks","4.5","4.5","303856"
"My Horse","4.5","4.5","293857"
"Clash Royale","4.5","4.6","266921"
"Domino's Pizza USA","5.0","4.7","258624"
"Boom Beach","4.5","4.5","241929"
"Fallout Shelter","4.5","4.6","199396"
"SimCity BuildIt","4.5","4.5","198338"
"Real Basketball","4.5","4.5","198050"
"Asphalt 8: Airborne","4.5","4.5","188568"
"ROBLOX","4.5","4.5","183621"
"Real Racing 3","4.5","4.5","164483"
"Wish - Shopping Made Fun","4.5","4.5","141960"
"Where's My Water?","4.5","4.7","131656"
"Smash Hit","4.5","4.5","126233"
"My Talking Tom","4.5","4.5","123859"
"Star Wars™: Galaxy of Heroes","4.5","4.5","122260"
"Geometry Dash Meltdown","4.5","4.6","117470"
"Cooking Fever","4.5","4.5","107797"
"Shadow Fight 2","4.5","4.6","99206"
"War Robots","4.5","4.6","97122"
"PewDiePie's Tuber Simulator","5.0","4.8","90851"
"Score! Hero","4.5","4.6","85395"
"Angry Birds Epic RPG","4.5","4.5","84680"
"Hungry Shark Evolution","4.5","4.5","83784"
"Township","4.5","4.6","80801"
"Egg, Inc.","5.0","4.7","79074"
"Nyan Cat: Lost In Space","4.5","4.5","76392"
"Toy Blast","4.5","4.7","75822"
"My Talking Angela","4.5","4.5","54549"
"Microsoft Word","4.5","4.5","47999"
"Bloons TD 5","4.5","4.6","42078"
"Fishdom","4.5","4.6","39217"
"Disney Crossy Road","4.5","4.5","38571"
"Chase Mobile","4.5","4.6","34322"
"Hill Climb Racing 2","4.5","4.6","33854"
"Choices: Stories You Play","4.5","4.6","33698"
"Rolling Sky","4.5","4.5","30670"
"PicsArt Photo Studio: Collage Maker & Pic Editor","4.5","4.5","29078"
"YouTube Kids","4.5","4.5","28560"
"Dude Perfect 2","4.5","4.5","28361"
"GroupMe","4.5","4.5","28260"
"FINAL FANTASY BRAVE EXVIUS","4.5","4.6","28187"
"Five Nights at Freddy's","4.5","4.6","27388"
"Animal Jam - Play Wild!","4.5","4.6","26990"
"DoorDash - Food Delivery","4.5","4.5","25947"
"Angry Birds Blast","4.5","4.6","24878"
"Microsoft Excel","4.5","4.5","24430"
"Hungry Shark World","4.5","4.5","24057"
"Traffic Racer","4.5","4.5","22458"
"MARVEL Future Fight","4.5","4.6","20906"
"The Washington Post Classic","4.5","4.5","18572"
"Five Nights at Freddy's 2","4.5","4.6","18107"
"Zombie Catchers","4.5","4.7","16805"
